trajectory,node_id,x,y,altitude,time
0,0,441782.7959,4428131.247,492,02:53:04
0,1,440370.666,4428104.085,218,03:01:25
0,2,440314.1862,4428167.378,164,04:12:42
0,3,441076.6869,4428801.611,230,04:21:02
0,4,442149.4877,4429298.081,145,04:29:17
0,5,442059.7037,4430753.667,196,09:44:55
0,6,442124.9817,4430871.1,168,09:56:01
0,7,441839.3361,4430667.734,144,10:11:01
0,8,441819.2537,4430576.387,7544,10:27:25
0,9,442060.7876,4430828.725,92,11:10:37
1,0,439983.7611,4431208.719,492,00:38:26
1,1,439967.199,4431133.339,135,00:55:06
1,2,439989.0883,4431115.51,102,01:02:26
1,3,439953.7861,4430959.326,98,01:12:51
1,4,439874.3475,4430718.208,79,01:25:11
1,5,439879.8444,4430506.068,39,01:32:51
1,6,439951.8814,4430663.85,75,01:40:26
1,7,439974.1386,4430952.281,74,01:48:39
1,8,439935.7788,4430549.49,68,02:03:06
1,9,440007.9234,4430991.879,75,02:10:59
1,10,439946.9011,4431103.961,54,02:18:51
1,11,440311.5814,4430874.115,224,02:27:11
1,12,440496.0242,4430415.499,114,02:35:21
1,13,441058.3565,4430261.879,36,02:43:41
1,14,441978.1499,4430349.753,67,02:51:56
2,0,442419.1749,4429486.255,492,23:21:53
2,1,441444.2413,4430314.422,244,23:30:13
2,2,441017.5266,4430249.536,141,23:46:43
2,3,440512.041,4430410.71,303,23:55:03
2,4,440304.2061,4430902.712,291,00:03:23
2,5,439933.142,4431113.286,177,00:11:38
2,6,439943.7846,4431120.198,77,00:23:43
2,7,439964.1747,4431128.81,88,00:56:31
2,8,439985.0705,4431082.45,70,01:04:13
2,9,439995.0682,4430953.448,70,01:11:43
2,10,439991.0734,4430490.199,-14,01:20:03
2,11,439896.2818,4430792.435,42,01:34:38
2,12,439876.0174,4430648.57,43,01:45:33
2,13,439970.2988,4430887.683,81,01:56:03
2,14,440020.0784,4430605.68,46,02:06:28
2,15,439960.665,4430543.297,76,02:20:28
2,16,439992.6344,4430547.375,102,02:28:38
2,17,439956.7394,4431030.594,80,02:36:48
2,18,439980.0608,4430999.428,222,02:55:38
2,19,440363.4289,4430625.523,273,03:03:53
2,20,440712.1124,4430409.481,227,03:12:08
2,21,441087.2696,4430301.298,145,03:20:18
2,22,442023.9572,4430107.772,279,03:28:38
3,0,439979.4253,4431157.006,480,00:17:04
3,1,439968.2936,4431120.56,101,00:36:54
3,2,439957.853,4431128.416,100,00:44:19
3,3,439973.2958,4430986.156,146,00:52:14
3,4,439875.8871,4430718.529,117,01:00:04
3,5,439929.7557,4430738.425,220,01:08:14
3,6,439967.5274,4430666.281,366,01:16:29
3,7,439912.0017,4430901.579,114,01:24:34
3,8,439821.8931,4430887.967,198,01:32:34
3,9,439846.3226,4430737.751,58,01:40:44
3,10,439954.4567,4430698.032,111,01:48:24
3,11,439982.7529,4431080.914,289,01:56:44
3,12,440027.8841,4431043.469,424,02:04:59
3,13,440753.0901,4430309.222,424,02:20:29
3,14,441259.058,4430308.631,234,02:29:34
